;album;album_id;num_album;nome;letra;musicas_album;data
10;30 (Target Exclusive);827912;11.0;To Be Loved;"I built a house for a love to grow
I was so young that it was hard to know
I'm as lost now as I was back then
Always make a mess of everything
It's about time that I face myself
All I do is bleed into someone else
Painting walls with all my secret tears
Filling rooms with all my hopes and fears

But, oh, my
Oh, my
I'll never learn if I never leap
I'll always yearn if I never speak
To be loved and love at the highest count
Means to lose all the things I can't live without
Let it be known that I will choose to lose
It's a sacrifice, but I can't live a lie
Let it be known, let it be known that I tried

I'm so afraid, but I'm open wide
I'll be the one to catch myself this time
Tryna learn to lean into it all
Ain't it funny how the mighty fall?
Looking back, I don't regret a thing
Yeah, I took some bad turns that I am owning
I'll stand still and let the storm pass by
Keep my heart safe till the time feels right

But, oh, my
Oh, my
I'll never learn if I never leap
I'll always yearn if I never speak

To be loved and love at the highest count
Means to lose all the things I can't live without
Let it be known that I will choose to lose
It's a sacrifice, but I can't live a lie
Let it be known";15;2021-11-19
11;30 (Target Exclusive);827912;12.0;Love Is A Game;"All your expectations of my love are impossible
Surely, you know that I'm not easy to hold
It's so sad how incapable of learning to grow I am
My heart speaks in puzzle and codes
I've been trying my whole life to solve
God only knows how I've cried
I can't take another defeat
A next time would be the ending of me
Now that I see
That love is a game for fools to play
And I ain't fooling (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain
Love is a game for fools to play
And I ain't fooling again (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain

How unbelievable (Unbelievable)
Of me to fall for the lies that I tell (Lies I tell)
The dream that I sell (Dream I sell)
When heartache, it's inevitable (And unbearable)
But I'm no good at doing it well
Not that I care (I don't care)
Why should anything about it be fair?

When love is a game for fools to play
And I ain't fooling (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain
Love is a game for fools to play
And I ain't fooling again (Fooling), what a cruel thing (Cruel thing)
To self-inflict that pain

No amount of love
Can keep me satisfied (Satisfied, satisfied)
I can't keep up (Can't keep up, can't keep up)
When I keep changing my mind (Change my mind, change my mind)
The feelings flood me to the heights of no compromise";15;2021-11-19
12;30 (Target Exclusive);827912;13.0;Wild Wild West;"I grew a nipper in the wild wild west
And for a while I was at my best
So much so that I got hitched in a big white dress
But all it did was make me so sad and stressed
And so I got soaked in the wild wild west
I was gallivanting in the silhouettes
That's when I, I met a jingler in the, in the wild west
While he was sparrow-catching in the wilderness

(Ah-ooh)
Don't waste your time when I've got a (Ah-ooh) backbone of steel
(Ah-ooh)
Don't push me once or I'll shoot a (Ah-ooh) look that will kill
(Ah-ooh)
Don't waste your time when I've got a (Ah-ooh) backbone of steel
(Ah-ooh)
Don't push me once or I'll shoot a look that will kill ya
From LA to San Francisco
I lost my mind in San Bernardino
Even Chula Vista and Modesto
I broke my heart in San Diego

Now I'm cutting shines in the wild wild west
I had to bed my man down to save my self
That's when I got churched in the, in the wild west
Not that I care, I find God so hard to impress

(Ah-ooh)
Don't waste your time when I've got a (Ah-ooh) backbone of steel
(Don't waste your time)
(Ah-ooh)
Don't push me once or I'll shoot a (Ah-ooh) look that will kill
(I'll shoot you down)
(Ah-ooh)
Don't waste your time when I've got a (Ah-ooh) backbone of steel
(Don't waste your time)
(Ah-ooh)
Don't push me once or I'll shoot a look that will kill ya

From LA to San Francisco
I lost my mind in San Bernardino
Even Chula Vista and Modesto
I broke my heart in San Diego";15;2021-11-19
13;30 (Target Exclusive);827912;14.0;Can’t Be Together;"You've got your eye on me after all these years
You think that I can't see you from over here
I may be out of your view, but I can hear you
I may be out of the room, but I can see you
I know you still want me, you always will
And I can guarantee I know just how it feels
To never be free completely
Sometimes you just feel so empty

Like lately when I have been missing you
And I would still do anything for you
But we need to learn how to love who we're loving
It's hard but we must we've got to let it go
And turn off the urge to know what could have been
But I will love you forever

I was far too reckless, I know that now
Trying to make you jealous made me feel proud
But now I'm in too deep to climb out
But know that I live with my doubt, oh-oh

Like lately when I have been missing you
And I want to do everything with you

But we need to learn how to love who we're loving
It's hard but we must, we've got to let it go
And turn off the urge to know what could have been
But I will love you forever

Since we were together everybody's changed
Our reflections in the mirror no longer look the same
And we're only just beginning to live the lives we'll make
But I will always miss you at the end of each day";15;2021-11-19
14;30 (Target Exclusive);827912;15.0;Easy On Me (Duet Version);"There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in

Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me
There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I have tried
I changed who I was to put you both first
But now I give up

Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
Had no time to choose what I chose to do
So go easy on me

I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show

Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me";15;2021-11-19
15;30;821911;1.0;Strangers By Nature;"I'll be taking flowers to the cemetery of my heart
For all of my lovers in the present and in the dark
Every anniversary, I'll pay respects and say I'm sorry
For they never stood a chance as if they could
When no one knows what it's like to be us

I've never seen the sky this colour before
It's like I'm noticin' everythin' a little bit more
Now that all the dust has settled
I rebut all my rebuttals
No one knows what it's likе to be us
Strangers by nature
Strangеrs by nature

Will I ever get there?
Oh, I hope that someday I'll learn
To nurture what I've done

Ooh-ooh, ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh
Alright then, I'm ready";12;2021-11-19
16;30;821911;2.0;Easy On Me;"There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me
There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first
But now I give up
Go easy on mе, baby
I was still a child
Didn't get the chance to
Feel thе world around me
Had no time to choose what I chose to do
So go easy on me

I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show
Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me";12;2021-10-15
17;30;821911;3.0;My Little Love;"My little love
I see your eyes widen like an ocean
When you look at me so full of my emotions
I'm findin' it hard to be here sincerely
I know you feel lost, it's my fault completely
Tell me you love me
I love you a million percent
I don't recognise myself in the coldness of the daylight
So I ain't surprised you can read through all of my lies
I feel so bad to be here when I'm so guilty
I'm so far gone and you're the only one who can save mе

Oi, I feel like you don't love me
Why do you feel likе that?
Do you like me?
You know mummy doesn't like anyone else like I like you, right?

I'm holdin' on (Barely)
Mama's got a lot to learn (It's heavy)
I'm holdin' on (Catch me)
Mama's got a lot to learn (Teach me)

Mummy's been having a lot of big feelings recently
Like how?
Just, like, hang on, my fingers are trapped
Like, um, I feel a bit confused
Why?
I don't know
And I feel like I don't really know what I'm doing
Oh, at all?
At all
And that would make me go...";12;2021-11-19
18;30;821911;4.0;Cry Your Heart Out;"Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace

When I walk in a room, I'm invisible, I feel like a ghost
All my friends keep on tellin' me that this feeling won't last, mmm
I can't get no relief, I'm so tired of myself, I swear I'm dead in the eyes
I have nothin' to feel no more, I can't even cry
When will I begin to feel like me again?
I'm hanging by a thread
My skin's paper-thin, I can't stop wavering
I've never been more scared

Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace

When I wake up, I'm afraid of the idea of facin' the day
I would rather stay home on my own, drink it all away
Please stop callin' me, it's exhausting, there's really nothin' left to say
I created this storm, it's only fair I have to sit in its rain

When will I begin to feel like me again?
I'm hanging by a thread
My skin's paper-thin, I can't stop wavering
I've never been more scared

Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace";12;2021-11-19
19;30;821911;5.0;Oh My God;"I ain't got too much time to spare
But I'll make time for you to show how much I care
Wish that I would let you break my walls
But I'm still spinning out of control from the fall
Boy, you give good love, I won't lie
It's what keeps me comin' back even though I'm terrified

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight

I'm a fool, but they all think I'm blind
I'd rather be a fool than leave myself behind
I don't have to explain myself to you
I am a grown woman and I do what I want to do

I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight";12;2021-11-19
